diameter,center_lon,center_lat,counted on,VID,sfs_depth,d/D,age,x,y,radius (m)
6.252583599542892,30.437190773886133,-85.50948993236561,sfs,,0.17090260444183514,0.027,46000000,-2812.2261649326515,-2715.9324505320897,3.126291799771446
6.644860988911776,30.463055967048795,-85.51013504882745,sfs,,0.374987478931871,0.056,46000000,-2750.4370138205772,-2734.238848408412,3.322430494455888
4.637861109209035,30.456183036840567,-85.51023543670863,sfs,,0.17849098886836146,0.038,35000000,-2766.686897424633,-2737.612195415265,2.3189305546045174
4.722203406907781,30.44867881178109,-85.51067244584048,sfs,,0.28184266368862154,0.06,24000000,-2784.225873232929,-2751.223424296579,2.3611017034538904
5.044975307949841,30.46668723154139,-85.51069882811959,sfs,,0.2877164873998481,0.057,27000000,-2741.475314417697,-2751.1575961443555,2.5224876539749204
5.2568092596147435,30.468211976264676,-85.51038354402701,sfs,,0.3400259918807933,0.065,26000000,-2738.048936175182,-2741.526360445183,2.6284046298073718
4.723469368058203,30.463390870879874,-85.50983507838066,sfs,,0.18215556766699592,0.039,35000000,-2749.825499085163,-2725.1285513889984,2.3617346840291016
6.193715048234489,30.46303843907681,-85.50949451343031,sfs,,0.22441302719744272,0.036,46000000,-2750.8701761043076,-2714.8204310435613,3.0968575241172447
5.275742656436816,30.472050883721447,-85.50968963404412,sfs,,0.1506520934881337,0.029,40000000,-2729.359369466087,-2720.3062935044436,2.637871328218408
6.171655021099794,30.476939960994795,-85.51052032459516,sfs,,0.34798003492142016,0.056,46000000,-2717.2531355938045,-2745.2589729807733,3.085827510549897
4.158083058319598,30.48196237830953,-85.51056434636217,sfs,,0.2044755813676602,0.049,26000000,-2705.3078346535526,-2746.35667740014,2.079041529159799
5.652532652236406,30.45701471618074,-85.50895968592837,sfs,,0.18853105360631162,0.033,40000000,-2765.4970352295463,-2698.895032956285,2.826266326118203
6.7465280318176015,30.459362598565725,-85.50875035998477,sfs,,0.19148171396318503,0.028,46000000,-2760.051690605049,-2692.4360025825617,3.3732640159088008
11.144586271993738,30.453360156049772,-85.50813655834413,sfs,,0.6141753600159063,0.055,81000000,-2774.6800865617442,-2674.116291965232,5.572293135996869
5.129073757906871,30.456051375669688,-85.50645068587002,sfs,,0.23105077537275065,0.045,35000000,-2769.3269489729073,-2622.8756718159602,2.5645368789534353
4.727196208163032,30.457608212733113,-85.50692322803489,sfs,,0.16071830813325505,0.034,35000000,-2765.3388448858636,-2637.126849168642,2.363598104081516
7.884973586410785,30.467301096905906,-85.50942738110672,sfs,,0.4083409341119477,0.052,53000000,-2740.7929825882843,-2712.5815202915737,3.9424867932053926
5.059188012703646,30.47049870801426,-85.50911299411025,sfs,,0.3160575039946707,0.062,22000000,-2733.393781797347,-2702.8978834334926,2.529594006351823
4.469976735062204,30.462428244036857,-85.50896804730095,sfs,,0.15388035601336014,0.034,30000000,-2752.6405686517487,-2698.8886546738777,2.234988367531102
6.627315025626625,30.468434154921134,-85.50831338117118,sfs,,0.27893239454169816,0.042,46000000,-2738.78127395843,-2678.7540650707574,3.3136575128133123
4.679366721114544,30.46901452435024,-85.50807963594609,sfs,,0.1974809928697141,0.042,35000000,-2737.545466388418,-2671.639895430056,2.339683360557272
6.117562143628906,30.463273487188285,-85.50750448569492,sfs,,0.2605097078894687,0.043,46000000,-2751.5285204848283,-2654.477058659146,3.058781071814453
